id,source_name,interaction,target_name,impact,weight,scientific_evidence,source_type,source,target,shared_name,shared_interaction,name,SUID,selected
1001.0,AGEs,increase,Cellular Senescence,bad,3.0,3.0,mechanism,101.0,106.0,AGEs (increase) Cellular Senescence,increase,AGEs (increase) Cellular Senescence,1001.0,False
1002.0,AGEs,increase,DNA Damage,bad,3.0,3.0,mechanism,101.0,107.0,AGEs (increase) DNA Damage,increase,AGEs (increase) DNA Damage,1002.0,False
1003.0,AGEs,increase,Inflammation,bad,3.0,3.0,mechanism,101.0,111.0,AGEs (increase) Inflammation,increase,AGEs (increase) Inflammation,1003.0,False
1004.0,AGEs,decrease,Insulin Sensitivity,bad,3.0,3.0,mechanism,101.0,112.0,AGEs (decrease) Insulin Sensitivity,decrease,AGEs (decrease) Insulin Sensitivity,1004.0,False
1005.0,AGEs,increase,Oxidative Stress (incl. ROS),bad,3.0,3.0,mechanism,101.0,116.0,AGEs (increase) Oxidative Stress (incl. ROS),increase,AGEs (increase) Oxidative Stress (incl. ROS),1005.0,False
1006.0,AMPK Signaling,bi-amplify,Autophagy,good,4.0,3.0,mechanism,102.0,103.0,AMPK Signaling (bi-amplify) Autophagy,bi-amplify,AMPK Signaling (bi-amplify) Autophagy,1006.0,False
1007.0,AMPK Signaling,increase,Insulin Sensitivity,good,3.0,3.0,mechanism,102.0,112.0,AMPK Signaling (increase) Insulin Sensitivity,increase,AMPK Signaling (increase) Insulin Sensitivity,1007.0,False
1008.0,AMPK Signaling,decrease,mTOR Signaling,good,3.0,3.0,mechanism,102.0,114.0,AMPK Signaling (decrease) mTOR Signaling,decrease,AMPK Signaling (decrease) mTOR Signaling,1008.0,False
1009.0,AMPK Signaling,increase,NAD Levels,good,2.0,2.0,mechanism,102.0,115.0,AMPK Signaling (increase) NAD Levels,increase,AMPK Signaling (increase) NAD Levels,1009.0,False
1010.0,AMPK Signaling,decrease,Oxidative Stress (incl. ROS),good,5.0,5.0,mechanism,102.0,116.0,AMPK Signaling (decrease) Oxidative Stress (incl. ROS),decrease,AMPK Signaling (decrease) Oxidative Stress (incl. ROS),1010.0,False
1011.0,Autophagy,bi-amplify,AMPK Signaling,good,4.0,3.0,mechanism,103.0,102.0,Autophagy (bi-amplify) AMPK Signaling,bi-amplify,Autophagy (bi-amplify) AMPK Signaling,1011.0,False
1012.0,Autophagy,decrease,Cellular Senescence,good,3.0,3.0,mechanism,103.0,106.0,Autophagy (decrease) Cellular Senescence,decrease,Autophagy (decrease) Cellular Senescence,1012.0,False
1013.0,Autophagy,decrease,DNA Damage,good,3.0,3.0,mechanism,103.0,107.0,Autophagy (decrease) DNA Damage,decrease,Autophagy (decrease) DNA Damage,1013.0,False
1014.0,Autophagy,bi-inhibit,mTOR Signaling,complex,3.0,3.0,mechanism,103.0,114.0,Autophagy (bi-inhibit) mTOR Signaling,bi-inhibit,Autophagy (bi-inhibit) mTOR Signaling,1014.0,False
1015.0,Autophagy,decrease,Oxidative Stress (incl. ROS),good,3.0,3.0,mechanism,103.0,116.0,Autophagy (decrease) Oxidative Stress (incl. ROS),decrease,Autophagy (decrease) Oxidative Stress (incl. ROS),1015.0,False
1016.0,Caloric Restriction,increase,Autophagy,good,3.0,3.0,mechanism,104.0,103.0,Caloric Restriction (increase) Autophagy,increase,Caloric Restriction (increase) Autophagy,1016.0,False
